"CHEVRY";"01";"AIN";"01170";"01103";""
"CHEZERY-FORENS";"01";"AIN";"01200";"01104";""
"CHEZERY-FORENS";"01";"AIN";"01410";"01104";""
"CIVRIEUX";"01";"AIN";"01390";"01105";""
"CIZE";"01";"AIN";"01250";"01106";""
"CLEYZIEU";"01";"AIN";"01230";"01107";""
"COLIGNY";"01";"AIN";"01270";"01108";""
"COLLONGES";"01";"AIN";"01550";"01109";""
"COLOMIEU";"01";"AIN";"01300";"01110";""
"CONAND";"01";"AIN";"01230";"01111";""
"CONDAMINE";"01";"AIN";"01430";"01112";""
"CONDEISSIAT";"01";"AIN";"01400";"01113";""
"CONFORT";"01";"AIN";"01200";"01114";""
"CONFRANCON";"01";"AIN";"01310";"01115";""
"CONTREVOZ";"01";"AIN";"01300";"01116";""
"CONZIEU";"01";"AIN";"01300";"01117";""
"CORBONOD";"01";"AIN";"01420";"01118";""
"CORCELLES";"01";"AIN";"01110";"01119";""
"CORLIER";"01";"AIN";"01110";"01121";""
"CORMARANCHE-EN-BUGEY";"01";"AIN";"01110";"01122";""
"CORMORANCHE-SUR-SAONE";"01";"AIN";"01290";"01123";""
"CORMOZ";"01";"AIN";"01560";"01124";""
"CORVEISSIAT";"01";"AIN";"01250";"01125";""
"COURMANGOUX";"01";"AIN";"01370";"01127";""
"COURTES";"01";"AIN";"01560";"01128";""
"CRANS";"01";"AIN";"01320";"01129";""
"CRAS-SUR-REYSSOUZE";"01";"AIN";"01340";"01130";""
"CRESSIN-ROCHEFORT";"01";"AIN";"01350";"01133";""
"CROTTET";"01";"AIN";"01290";"01134";""
"CROTTET";"01";"AIN";"01750";"01134";""
"CROZET";"01";"AIN";"01170";"01135";""
"CRUZILLES-LES-MEPILLAT";"01";"AIN";"01290";"01136";""
"CULOZ";"01";"AIN";"01350";"01138";""
"CURCIAT-DONGALON";"01";"AIN";"01560";"01139";""
"CURTAFOND";"01";"AIN";"01310";"01140";""
"CUZIEU";"01";"AIN";"01300";"01141";""
"DAGNEUX";"01";"AIN";"01120";"01142";""
"DIVONNE-LES-BAINS";"01";"AIN";"01220";"01143";""
"DOMMARTIN";"01";"AIN";"01380";"01144";""
"DOMPIERRE-SUR-VEYLE";"01";"AIN";"01240";"01145";""
"DOMPIERRE-SUR-CHALARONNE";"01";"AIN";"01400";"01146";""
